,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
26,2019-04-27,2776772.9138552663,2697726.582516031,2815307.8340707705,2776772.9138552663,2776772.9138552663,-17396.604059048597,-17396.604059048597,-17396.604059048597,-17396.604059048597,-17396.604059048597,-17396.604059048597,0.0,0.0,0.0,2759376.309796218
27,2019-04-28,2779754.242698728,2716536.149522501,2830205.359653563,2779754.242698728,2779754.242698728,-4470.907330253768,-4470.907330253768,-4470.907330253768,-4470.907330253768,-4470.907330253768,-4470.907330253768,0.0,0.0,0.0,2775283.3353684745
28,2019-04-29,2782735.5715421904,2745476.6131484844,2862263.3107213806,2782735.5715421904,2782735.5715421904,19951.252834256407,19951.252834256407,19951.252834256407,19951.252834256407,19951.252834256407,19951.252834256407,0.0,0.0,0.0,2802686.8243764467
29,2019-04-30,2785988.5166407544,2749827.253068775,2868094.7831490496,2785988.5166407544,2785988.5166407544,27454.78172036521,27454.78172036521,27454.78172036521,27454.78172036521,27454.78172036521,27454.78172036521,0.0,0.0,0.0,2813443.29836112
30,2019-05-01,2789241.461739318,2745505.947203278,2854209.7335645626,2789241.4617393184,2789241.4617393184,8846.171934897531,8846.171934897531,8846.171934897531,8846.171934897531,8846.171934897531,8846.171934897531,0.0,0.0,0.0,2798087.6336742155
31,2019-05-02,2792494.406837882,2714768.8033112506,2827755.2639378803,2792494.4068378825,2792494.4068378825,-18532.547824230558,-18532.547824230558,-18532.547824230558,-18532.547824230558,-18532.547824230558,-18532.547824230558,0.0,0.0,0.0,2773961.8590136515
32,2019-05-03,2795747.3519364456,2723838.230053736,2835575.121744583,2795747.3519364456,2795747.3519364456,-15852.147276086489,-15852.147276086489,-15852.147276086489,-15852.147276086489,-15852.147276086489,-15852.147276086489,0.0,0.0,0.0,2779895.2046603593
33,2019-05-04,2799228.9799490944,2722615.2768807905,2838939.174220985,2799228.9799490944,2799228.9799490944,-17396.604059064546,-17396.604059064546,-17396.604059064546,-17396.604059064546,-17396.604059064546,-17396.604059064546,0.0,0.0,0.0,2781832.3758900296
34,2019-05-05,2802710.607961743,2739996.1426434205,2857710.306027104,2802710.607961743,2802710.607961743,-4470.907330243753,-4470.907330243753,-4470.907330243753,-4470.907330243753,-4470.907330243753,-4470.907330243753,0.0,0.0,0.0,2798239.7006314993
35,2019-05-06,2806192.2359743915,2775650.655039884,2887237.723375674,2806192.2359743915,2806192.2359743915,19951.252834259074,19951.252834259074,19951.252834259074,19951.252834259074,19951.252834259074,19951.252834259074,0.0,0.0,0.0,2826143.4888086505
36,2019-05-07,2810092.926437823,2785600.5296386327,2897331.872957301,2810092.926437823,2810092.926437823,27454.7817203712,27454.7817203712,27454.7817203712,27454.7817203712,27454.7817203712,27454.7817203712,0.0,0.0,0.0,2837547.708158194
37,2019-05-08,2813993.6169012547,2764520.475543816,2874754.22787447,2813993.6169012543,2813993.6169012543,8846.171934878015,8846.171934878015,8846.171934878015,8846.171934878015,8846.171934878015,8846.171934878015,0.0,0.0,0.0,2822839.7888361327
38,2019-05-09,2817894.307364686,2740708.117872007,2856215.934255688,2817894.3073646864,2817894.3073646864,-18532.547824214904,-18532.547824214904,-18532.547824214904,-18532.547824214904,-18532.547824214904,-18532.547824214904,0.0,0.0,0.0,2799361.7595404712
39,2019-05-10,2822150.4966478623,2748999.8921386907,2867270.408976327,2822150.4966478623,2822150.4966478623,-15852.147276086278,-15852.147276086278,-15852.147276086278,-15852.147276086278,-15852.147276086278,-15852.147276086278,0.0,0.0,0.0,2806298.349371776
40,2019-05-11,2826406.6859310386,2753294.058946351,2870856.287705887,2826406.6859310386,2826406.6859310386,-17396.604059043988,-17396.604059043988,-17396.604059043988,-17396.604059043988,-17396.604059043988,-17396.604059043988,0.0,0.0,0.0,2809010.081871995
41,2019-05-12,2830662.875214215,2769899.6559663843,2885211.5295674363,2830662.875214215,2830662.875214215,-4470.907330214947,-4470.907330214947,-4470.907330214947,-4470.907330214947,-4470.907330214947,-4470.907330214947,0.0,0.0,0.0,2826191.967884
42,2019-05-13,2835179.4203724386,2797389.4942183234,2912727.5685771713,2835179.4203724386,2835179.4203724386,19951.25283430031,19951.25283430031,19951.25283430031,19951.25283430031,19951.25283430031,19951.25283430031,0.0,0.0,0.0,2855130.673206739
